date_time,plant_id,dc_power,ac_power,daily_yield,total_yield,ambient_temperature,module_temperature,irradiation,hour,day,month,year,delta_daily_yield,delta_daily_yield2
2020-06-02 06:00:00,4136001.0,26.38785714285714,25.487792207792207,96.608658008658,645102165.6313853,22.916382666666664,22.247264800000004,0.0197261745333333,6.0,2.0,6.0,2020.0,0.0,0.0
2020-06-02 06:15:00,4136001.0,66.24742424242424,64.18623376623377,13.412121212121212,645102176.6393939,23.032455400000003,22.654440366666662,0.0478369210666666,6.0,2.0,6.0,2020.0,0.0,0.0
2020-06-02 06:30:00,4136001.0,111.11612554112554,108.09279220779221,34.236147186147186,645102197.4634199,23.34289765517241,23.383397620689653,0.0765928847931034,6.0,2.0,6.0,2020.0,20.82402597402597,20.82402597402597
2020-06-02 06:45:00,4136001.0,241.33772727272725,236.69701298701295,75.77099567099566,645102238.9982682,23.856942766666666,24.49164526666667,0.1477497143333332,6.0,2.0,6.0,2020.0,41.534848484848474,41.534848484848474
2020-06-02 07:00:00,4136001.0,242.05246753246755,237.45974025974027,135.06645021645022,645102298.293723,24.221417793103452,25.01937748275861,0.18185742689655157,7.0,2.0,6.0,2020.0,59.29545454545456,59.29545454545456
2020-06-02 07:15:00,4136001.0,325.7937445887446,320.1495670995671,205.7621212121212,645102368.989394,24.62806283333333,27.23979176666666,0.245755635,7.0,2.0,6.0,2020.0,70.69567099567098,70.69567099567098
2020-06-02 07:30:00,4136001.0,362.3325108225108,356.10792207792207,290.7634199134199,644551440.4270562,24.969555068965523,28.168725413793098,0.2627643006896551,7.0,2.0,6.0,2020.0,85.00129870129871,85.00129870129871
2020-06-02 07:45:00,4136001.0,383.8087445887446,377.06049783549787,380.4588744588744,644551530.1225108,25.263770500000007,29.25051676666666,0.2766070663333333,7.0,2.0,6.0,2020.0,89.69545454545448,89.69545454545448
2020-06-02 08:00:00,4136001.0,492.935606060606,483.3847402597402,489.4378787878788,645102652.6651515,25.729429199999995,32.35679116666666,0.3595941213333333,8.0,2.0,6.0,2020.0,108.9790043290044,108.9790043290044
2020-06-02 08:15:00,4136001.0,509.06242424242424,499.12999999999994,612.1242424242424,645102775.3515152,26.090604379310346,33.56801127586206,0.3688924465517241,8.0,2.0,6.0,2020.0,122.68636363636364,122.68636363636364
2020-06-02 08:30:00,4136001.0,542.890606060606,532.1604761904762,739.7326839826839,645102902.9599566,26.44687696666666,34.41820253333332,0.377332969,8.0,2.0,6.0,2020.0,127.60844155844143,127.60844155844143
2020-06-02 08:45:00,4136001.0,642.2307359307359,629.1352813852814,886.5383116883116,645103049.7655845,26.808725310344823,35.04586710344829,0.443209798275862,8.0,2.0,6.0,2020.0,146.80562770562778,146.80562770562778
2020-06-02 09:00:00,4136001.0,695.6151948051948,681.230064935065,1051.747619047619,645103214.9748918,27.249029466666663,35.537271133333334,0.4957501996666666,9.0,2.0,6.0,2020.0,165.20930735930745,165.20930735930745
2020-06-02 09:15:00,4136001.0,581.0896103896104,569.4808658008659,1209.4547619047619,645103372.6820346,27.425496275862077,34.496706137931035,0.394868714137931,9.0,2.0,6.0,2020.0,157.7071428571428,157.7071428571428
2020-06-02 09:30:00,4136001.0,602.1408008658009,590.0475974025974,1341.631168831169,638291859.512987,27.327536,33.792619,0.4056886073333333,9.0,2.0,6.0,2020.0,132.17640692640703,132.17640692640703
2020-06-02 09:45:00,4136001.0,618.640606060606,606.089696969697,1500.787878787879,645103664.0151515,27.754356551724133,36.347844689655176,0.4331567996551724,9.0,2.0,6.0,2020.0,159.15670995671007,159.15670995671007
2020-06-02 10:00:00,4136001.0,664.7151515151515,651.0002597402598,1656.380735930736,645103819.6080086,27.99881283333333,38.14251193333333,0.4691548053333333,10.0,2.0,6.0,2020.0,155.59285714285693,155.59285714285693
2020-06-02 10:15:00,4136001.0,728.6166883116883,713.3346103896104,1834.6638528138528,645103997.8911256,28.47418737931035,40.54221093103449,0.5366073751724137,10.0,2.0,6.0,2020.0,178.28311688311692,178.28311688311692
2020-06-02 10:30:00,4136001.0,651.2599134199135,637.8993506493506,2000.5844155844156,645104163.8116883,28.5353607,40.11957696666667,0.4402971343333333,10.0,2.0,6.0,2020.0,165.9205627705628,165.9205627705628
2020-06-02 10:45:00,4136001.0,667.7476623376623,653.4966883116883,2159.8952380952383,645104323.1225108,28.8915477,41.118934,0.5421418333333334,10.0,2.0,6.0,2020.0,159.31082251082262,159.31082251082262
2020-06-02 11:00:00,4136001.0,620.2558441558441,607.5093290043291,2300.4062770562773,645089532.145671,28.94237755172413,40.4737073448276,0.45151451482758626,11.0,2.0,6.0,2020.0,140.51103896103905,140.51103896103905
2020-06-02 11:15:00,4136001.0,249.94025974025973,244.49848484848482,1048.1651515151514,412266410.27748924,29.25102733333333,43.11183256666668,0.6886449540000001,11.0,2.0,6.0,2020.0,0.0,0.0
2020-06-02 11:30:00,4136001.0,699.0526406926407,681.7516017316018,2243.996103896104,645104697.5658008,30.376630103448278,53.56674610344828,0.9250587272413796,11.0,2.0,6.0,2020.0,1195.8309523809528,6.010822510822436
2020-06-02 11:45:00,4136001.0,579.2707142857142,565.47841991342,2474.359090909091,645104862.1318182,31.075158600000005,58.73192936666666,0.9018453599999998,11.0,2.0,6.0,2020.0,230.36298701298665,230.36298701298665
2020-06-02 12:00:00,4136001.0,484.0793073593073,473.09458874458875,2594.6497835497835,645104982.4225109,31.1120174137931,55.95442044827586,0.7622861868965516,12.0,2.0,6.0,2020.0,120.29069264069267,120.29069264069267
2020-06-02 12:15:00,4136001.0,411.70303030303035,402.25969696969696,2559.8424242424244,615632159.5454545,31.06728196666667,55.08399240000001,0.6874744083333332,12.0,2.0,6.0,2020.0,0.0,0.0
2020-06-02 12:30:00,4136001.0,0.0,0.0,0.0,0.0,31.939592433333328,62.564305699999984,1.083226548,12.0,2.0,6.0,2020.0,0.0,0.0
2020-06-02 12:45:00,4136001.0,572.6636147186147,558.7999134199134,2226.538961038961,607444012.5225108,33.18994672413792,66.6359527586207,1.0562036024137933,12.0,2.0,6.0,2020.0,2226.538961038961,6.010822510822436
2020-06-02 13:00:00,4136001.0,496.8463636363636,485.9990909090909,3185.7727272727275,645105349.0,32.27054523333334,55.00482806666665,0.5661604149999998,13.0,2.0,6.0,2020.0,959.2337662337663,6.010822510822436
2020-06-02 13:15:00,4136001.0,720.4125108225109,702.9471428571428,3333.1599567099565,645105496.3872294,32.887627827586215,54.72453555172415,0.8915255531034479,13.0,2.0,6.0,2020.0,147.38722943722905,147.38722943722905
2020-06-02 13:30:00,4136001.0,766.4766666666667,747.4630303030303,3511.3266233766235,645105674.5538961,33.179932833333325,57.115372966666655,0.93505356,13.0,2.0,6.0,2020.0,178.16666666666697,178.16666666666697
2020-06-02 13:45:00,4136001.0,714.8332034632035,697.4703896103896,3693.2919913419914,645105856.5192641,33.78014186206898,58.9595032413793,0.8694144300000001,13.0,2.0,6.0,2020.0,181.96536796536793,181.96536796536793
2020-06-02 14:00:00,4136001.0,860.7637445887445,839.5047402597403,3886.5344155844155,645106049.7616884,33.581305900000004,59.8907156,0.966886285,14.0,2.0,6.0,2020.0,193.24242424242402,193.24242424242402
2020-06-02 14:15:00,4136001.0,737.0581818181819,719.7021212121213,4080.324242424242,645106243.5515151,32.98081806896551,55.06886103448276,0.7214576427586207,14.0,2.0,6.0,2020.0,193.78982683982667,193.78982683982667
2020-06-02 14:30:00,4136001.0,592.2721212121213,578.6925757575757,4240.535064935065,645106403.7623377,32.73657323333333,50.73028446666667,0.602263703,14.0,2.0,6.0,2020.0,160.2108225108227,160.2108225108227
2020-06-02 14:45:00,4136001.0,717.1965584415584,700.7855627705627,4402.797619047619,645106566.0248917,32.74011437931035,51.55821696551723,0.670690565862069,14.0,2.0,6.0,2020.0,162.26255411255443,162.26255411255443
2020-06-02 15:00:00,4136001.0,715.7980519480519,700.1204329004329,4585.948484848485,645106749.1757575,32.62758303333334,49.09895223333333,0.4792966316666666,15.0,2.0,6.0,2020.0,183.1508658008661,183.1508658008661
2020-06-02 15:15:00,4136001.0,598.5369696969697,585.2042424242424,4708.481818181818,644740008.4818182,31.938042100000004,42.293699200000006,0.4006817327666666,15.0,2.0,6.0,2020.0,122.53333333333285,122.53333333333285
2020-06-02 15:30:00,4136001.0,835.6622510822511,817.4165367965368,4926.177922077922,645107089.4051948,32.84086431034483,48.3447823448276,0.5600057106896552,15.0,2.0,6.0,2020.0,217.69610389610352,217.69610389610352
2020-06-02 15:45:00,4136001.0,556.9081168831169,545.4994805194806,5101.840909090909,645107265.0681818,31.931493066666665,43.15259639999999,0.3353806863333332,15.0,2.0,6.0,2020.0,175.6629870129873,175.6629870129873
2020-06-02 16:00:00,4136001.0,331.5307142857143,324.4742857142857,3800.5463203463205,474049607.21320343,31.42358703448276,39.554146827586216,0.38650362137931027,16.0,2.0,6.0,2020.0,0.0,0.0
2020-06-02 16:15:00,4136001.0,0.0,0.0,0.0,0.0,31.6451579,42.85566706666666,0.3780669756666667,16.0,2.0,6.0,2020.0,0.0,0.0
2020-06-02 16:30:00,4136001.0,0.0,0.0,0.0,42628726.25865801,32.09593496666667,42.76547349999999,0.4176225276666667,16.0,2.0,6.0,2020.0,0.0,0.0
2020-06-02 16:45:00,4136001.0,498.00792207792205,488.0757142857143,4554.474242424242,645107456.9002165,32.224939551724134,42.130451206896566,0.3644395048275861,16.0,2.0,6.0,2020.0,4554.474242424242,6.010822510822436
2020-06-02 17:00:00,4136001.0,498.39508658008657,488.8298051948052,5426.125541125541,645107589.3528138,31.52818296666666,39.44536643333333,0.3232714083333334,17.0,2.0,6.0,2020.0,871.6512987012984,6.010822510822436
2020-06-02 17:15:00,4136001.0,403.99772727272733,396.9166883116883,5534.554112554112,645107697.7813853,30.723942137931036,36.51634479310344,0.2603328393103448,17.0,2.0,6.0,2020.0,108.42857142857156,108.42857142857156
2020-06-02 17:30:00,4136001.0,335.3270562770563,329.5627272727273,5626.180519480519,645107789.4077922,30.1612061,34.92869266666666,0.2214934133333333,17.0,2.0,6.0,2020.0,91.62640692640707,91.62640692640707
2020-06-02 17:45:00,4136001.0,202.73636363636362,198.69136363636363,5694.451515151515,645107857.678788,29.57704313793104,32.96825548275864,0.1376829444482758,17.0,2.0,6.0,2020.0,68.27099567099594,68.27099567099594
2020-06-02 18:00:00,4136001.0,150.483658008658,147.04008658008658,5735.466017316017,645107898.69329,29.159902933333328,31.011789966666665,0.1019844427999999,18.0,2.0,6.0,2020.0,41.01450216450212,41.01450216450212
2020-06-02 18:15:00,4136001.0,81.10848484848485,78.70454545454545,5764.278787878788,645107927.5060606,28.77739734482758,29.769714379310347,0.0553288056206896,18.0,2.0,6.0,2020.0,28.81277056277031,28.81277056277031
